*******************************************************************************
 Revised: April 12, 2021        Jupiter Barycenter                            5
 
 Dynamical point:
 ---------------
 The location of the center-of-mass of the Jupiter system. The point about 
 which Jupiter and its satellites revolve. See 599 for Jupiter center.
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Mar 29 02:45:19 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter Barycenter (5)          {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Aug-12 08:17:00.0000 TDB
Stop  time      : A.D. 2028-Dec-31 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458516.845138889, A.D. 2019-Feb-02 08:17:00.0000, -2.860524323396598E+08, -7.448106414219913E+08,  9.487676222419858E+06,  1.204020871662063E+01, -4.061310867477696E+00, -2.524791520664469E-01,
2458519.845138889, A.D. 2019-Feb-05 08:17:00.0000, -2.829291182742112E+08, -7.458568082194151E+08,  9.422150788295120E+06,  1.205940331461753E+01, -4.010947761253709E+00, -2.531176496696357E-01,
2458522.845138889, A.D. 2019-Feb-08 08:17:00.0000, -2.798008550684282E+08, -7.468899084559456E+08,  9.356460387937248E+06,  1.207839644200096E+01, -3.960488758369851E+00, -2.537520372494637E-01,
2458525.845138889, A.D. 2019-Feb-11 08:17:00.0000, -2.766676950101664E+08, -7.479099173686116E+08,  9.290606088542938E+06,  1.209718758462290E+01, -3.909934580323971E+00, -2.543823003163079E-01,
2458528.845138889, A.D. 2019-Feb-14 08:17:00.0000, -2.735296905203156E+08, -7.489168103818337E+08,  9.224588961060673E+06,  1.211577623013034E+01, -3.859285951545530E+00, -2.550084244092805E-01,
2458531.845138889, A.D. 2019-Feb-17 08:17:00.0000, -2.703868941523341E+08, -7.499105631081855E+08,  9.158410080183536E+06,  1.213416186797560E+01, -3.808543599403923E+00, -2.556303950960181E-01,
2458534.845138889, A.D. 2019-Feb-20 08:17:00.0000, -2.672393585917788E+08, -7.508911513491567E+08,  9.092070524341792E+06,  1.215234398942663E+01, -3.757708254213987E+00, -2.562481979724558E-01,
2458537.845138889, A.D. 2019-Feb-23 08:17:00.0000, -2.640871366558338E+08, -7.518585510959163E+08,  9.025571375695616E+06,  1.217032208757730E+01, -3.706780649238685E+00, -2.568618186625855E-01,
2458540.845138889, A.D. 2019-Feb-26 08:17:00.0000, -2.609302812928352E+08, -7.528127385300769E+08,  8.958913720127791E+06,  1.218809565735772E+01, -3.655761520688977E+00, -2.574712428182067E-01,
2458543.845138889, A.D. 2019-Mar-01 08:17:00.0000, -2.577688455817946E+08, -7.537536900244591E+08,  8.892098647236645E+06,  1.220566419554452E+01, -3.604651607720863E+00, -2.580764561186608E-01,
2458546.845138889, A.D. 2019-Mar-04 08:17:00.0000, -2.546028827319175E+08, -7.546813821438539E+08,  8.825127250328720E+06,  1.222302720077910E+01, -3.553451652426071E+00, -2.586774442716355E-01,
2458549.845138889, A.D. 2019-Mar-07 08:17:00.0000, -2.514324460821177E+08, -7.555957916457815E+08,  8.758000626411378E+06,  1.224018417358930E+01, -3.502162399827180E+00, -2.592741930140130E-01,
2458552.845138889, A.D. 2019-Mar-10 08:17:00.0000, -2.482575891005259E+08, -7.564968954812518E+08,  8.690719876185179E+06,  1.225713461640430E+01, -3.450784597875517E+00, -2.598666881122260E-01,
2458555.845138889, A.D. 2019-Mar-13 08:17:00.0000, -2.450783653839947E+08, -7.573846707955236E+08,  8.623286104036093E+06,  1.227387803357742E+01, -3.399318997450705E+00, -2.604549153631295E-01,
2458558.845138889, A.D. 2019-Mar-16 08:17:00.0000, -2.418948286575966E+08, -7.582590949288628E+08,  8.555700418027520E+06,  1.229041393140461E+01, -3.347766352360944E+00, -2.610388605942977E-01,
2458561.845138889, A.D. 2019-Mar-19 08:17:00.0000, -2.387070327741183E+08, -7.591201454173021E+08,  8.487963929892421E+06,  1.230674181814388E+01, -3.296127419342998E+00, -2.616185096644010E-01,
2458564.845138889, A.D. 2019-Mar-22 08:17:00.0000, -2.355150317135498E+08, -7.599677999933999E+08,  8.420077755025029E+06,  1.232286120403518E+01, -3.244402958062398E+00, -2.621938484635982E-01,
2458567.845138889, A.D. 2019-Mar-25 08:17:00.0000, -2.323188795825678E+08, -7.608020365869995E+08,  8.352043012472689E+06,  1.233877160132078E+01, -3.192593731113834E+00, -2.627648629139248E-01,
2458570.845138889, A.D. 2019-Mar-28 08:17:00.0000, -2.291186306140140E+08, -7.616228333259884E+08,  8.283860824927807E+06,  1.235447252426606E+01, -3.140700504021776E+00, -2.633315389696891E-01,
2458573.845138889, A.D. 2019-Mar-31 08:17:00.0000, -2.259143391663681E+08, -7.624301685370581E+08,  8.215532318718910E+06,  1.236996348918086E+01, -3.088724045241286E+00, -2.638938626178733E-01,
2458576.845138889, A.D. 2019-Apr-03 08:17:00.0000, -2.227060597232148E+08, -7.632240207464629E+08,  8.147058623802722E+06,  1.238524401444122E+01, -3.036665126159186E+00, -2.644518198785630E-01,
2458579.845138889, A.D. 2019-Apr-06 08:17:00.0000, -2.194938468927059E+08, -7.640043686807818E+08,  8.078440873754740E+06,  1.240031362051076E+01, -2.984524521097282E+00, -2.650053968061847E-01,
2458582.845138889, A.D. 2019-Apr-09 08:17:00.0000, -2.162777554070160E+08, -7.647711912676779E+08,  8.009680205761135E+06,  1.241517182996221E+01, -2.932303007315472E+00, -2.655545794893668E-01,
2458585.845138889, A.D. 2019-Apr-12 08:17:00.0000, -2.130578401217932E+08, -7.655244676366618E+08,  7.940777760609269E+06,  1.242981816749864E+01, -2.880001365016603E+00, -2.660993540517584E-01,
2458588.845138889, A.D. 2019-Apr-15 08:17:00.0000, -2.098341560156042E+08, -7.662641771198543E+08,  7.871734682678282E+06,  1.244425215997423E+01, -2.827620377350411E+00, -2.666397066529184E-01,
2458591.845138889, A.D. 2019-Apr-18 08:17:00.0000, -2.066067581893742E+08, -7.669902992527512E+08,  7.802552119930565E+06,  1.245847333641479E+01, -2.775160830419682E+00, -2.671756234889254E-01,
2458594.845138889, A.D. 2019-Apr-21 08:17:00.0000, -2.033757018658214E+08, -7.677028137749898E+08,  7.733231223901391E+06,  1.247248122803775E+01, -2.722623513286684E+00, -2.677070907929863E-01,
2458597.845138889, A.D. 2019-Apr-24 08:17:00.0000, -2.001410423888859E+08, -7.684017006311163E+08,  7.663773149689376E+06,  1.248627536827149E+01, -2.670009217979898E+00, -2.682340948360288E-01,
2458600.845138889, A.D. 2019-Apr-27 08:17:00.0000, -1.969028352231551E+08, -7.690869399713560E+08,  7.594179055947065E+06,  1.249985529277411E+01, -2.617318739501024E+00, -2.687566219272925E-01,
2458603.845138889, A.D. 2019-Apr-30 08:17:00.0000, -1.936611359532824E+08, -7.697585121523846E+08,  7.524450104870498E+06,  1.251322053945162E+01, -2.564552875832280E+00, -2.692746584149031E-01,
2458606.845138889, A.D. 2019-May-03 08:17:00.0000, -1.904160002834032E+08, -7.704163977381022E+08,  7.454587462189198E+06,  1.252637064847547E+01, -2.511712427943979E+00, -2.697881906864413E-01,
2458609.845138889, A.D. 2019-May-06 08:17:00.0000, -1.871674840365447E+08, -7.710605775004083E+08,  7.384592297155678E+06,  1.253930516229901E+01, -2.458798199801629E+00, -2.702972051692416E-01,
2458612.845138889, A.D. 2019-May-09 08:17:00.0000, -1.839156431540326E+08, -7.716910324199791E+08,  7.314465782535732E+06,  1.255202362567610E+01, -2.405810998375861E+00, -2.708016883301210E-01,
2458615.845138889, A.D. 2019-May-12 08:17:00.0000, -1.806605336948931E+08, -7.723077436870480E+08,  7.244209094597518E+06,  1.256452558567119E+01, -2.352751633643780E+00, -2.713016266763407E-01,
2458618.845138889, A.D. 2019-May-15 08:17:00.0000, -1.774022118352519E+08, -7.729106927021844E+08,  7.173823413101137E+06,  1.257681059167910E+01, -2.299620918599885E+00, -2.717970067555151E-01,
2458621.845138889, A.D. 2019-May-18 08:17:00.0000, -1.741407338677278E+08, -7.734998610770785E+08,  7.103309921288610E+06,  1.258887819543763E+01, -2.246419669262246E+00, -2.722878151553941E-01,
2458624.845138889, A.D. 2019-May-21 08:17:00.0000, -1.708761562008246E+08, -7.740752306353236E+08,  7.032669805873156E+06,  1.260072795103884E+01, -2.193148704673545E+00, -2.727740385036738E-01,
2458627.845138889, A.D. 2019-May-24 08:17:00.0000, -1.676085353583188E+08, -7.746367834132013E+08,  6.961904257028878E+06,  1.261235941494237E+01, -2.139808846899903E+00, -2.732556634680503E-01,
2458630.845138889, A.D. 2019-May-27 08:17:00.0000, -1.643379279786441E+08, -7.751845016604640E+08,  6.891014468380213E+06,  1.262377214599063E+01, -2.086400921027459E+00, -2.737326767565168E-01,
2458633.845138889, A.D. 2019-May-30 08:17:00.0000, -1.610643908142716E+08, -7.757183678411174E+08,  6.820001636992037E+06,  1.263496570542610E+01, -2.032925755156727E+00, -2.742050651179047E-01,
2458636.845138889, A.D. 2019-Jun-02 08:17:00.0000, -1.577879807310852E+08, -7.762383646342005E+08,  6.748866963358223E+06,  1.264593965691056E+01, -1.979384180394722E+00, -2.746728153426646E-01,
2458639.845138889, A.D. 2019-Jun-05 08:17:00.0000, -1.545087547077520E+08, -7.767444749345638E+08,  6.677611651391149E+06,  1.265669356654633E+01, -1.925777030844855E+00, -2.751359142638951E-01,
2458642.845138889, A.D. 2019-Jun-08 08:17:00.0000, -1.512267698350863E+08, -7.772366818536456E+08,  6.606236908410430E+06,  1.266722700289967E+01, -1.872105143607797E+00, -2.755943487580896E-01,
2458645.845138889, A.D. 2019-Jun-11 08:17:00.0000, -1.479420833154088E+08, -7.777149687202499E+08,  6.534743945131660E+06,  1.267753953702162E+01, -1.818369358784656E+00, -2.760481057457099E-01,
2458648.845138889, A.D. 2019-Jun-14 08:17:00.0000, -1.446547524618992E+08, -7.781793190813229E+08,  6.463133975654781E+06,  1.268763074246761E+01, -1.764570519469334E+00, -2.764971721918440E-01,
2458651.845138889, A.D. 2019-Jun-17 08:17:00.0000, -1.413648346979451E+08, -7.786297167027283E+08,  6.391408217452645E+06,  1.269750019531845E+01, -1.710709471752043E+00, -2.769415351063815E-01,
2458654.845138889, A.D. 2019-Jun-20 08:17:00.0000, -1.380723875564845E+08, -7.790661455700252E+08,  6.319567891359389E+06,  1.270714747419990E+01, -1.656787064716359E+00, -2.773811815442462E-01,
2458657.845138889, A.D. 2019-Jun-23 08:17:00.0000, -1.347774686793434E+08, -7.794885898892428E+08,  6.247614221558392E+06,  1.271657216030266E+01, -1.602804150436481E+00, -2.778160986056267E-01,
2458660.845138889, A.D. 2019-Jun-26 08:17:00.0000, -1.314801358165689E+08, -7.798970340876545E+08,  6.175548435571074E+06,  1.272577383740287E+01, -1.548761583973850E+00, -2.782462734362460E-01,
2458663.845138889, A.D. 2019-Jun-29 08:17:00.0000, -1.281804468257557E+08, -7.802914628145528E+08,  6.103371764244556E+06,  1.273475209188292E+01, -1.494660223373102E+00, -2.786716932276716E-01,
2458666.845138889, A.D. 2019-Jul-02 08:17:00.0000, -1.248784596713683E+08, -7.806718609420213E+08,  6.031085441740036E+06,  1.274350651275278E+01, -1.440500929657380E+00, -2.790923452176650E-01,
2458669.845138889, A.D. 2019-Jul-05 08:17:00.0000, -1.215742324240569E+08, -7.810382135657066E+08,  5.958690705520511E+06,  1.275203669167169E+01, -1.386284566822993E+00, -2.795082166905696E-01,
